recording.group,recording.name
8a33ef19-5d2b-42d9-927f-6f1e898e1fb3,KOVEN
88004ed1-7414-42c7-b625-3396b3dec983,BL▲CK SUN RITU▲L
093a1cf4-09ef-4b1f-b184-533a3ae1577a,ILLEG▲L GR▲VE MUSIC
a90e5bc8-73df-4369-b4f6-7649b9784aa2,CH▲NCTONBURY
3d6e4e87-028d-4016-83ec-9632c2ee759a,STORMFYNDER
67925e65-23f6-4dca-8829-ff0f8fbf6902,RING OF SORROWS
96c59bfd-cc6e-43dd-89d4-13e519d16a39,D▲RK PE▲KS
25ad1cbd-fb6e-4d02-9a0d-fa3923fc7dff,D▲WN SHROUDS
db9dfe44-a0ee-4c2d-9f2f-e59d7d3bf2ba,A Little Lesson in the Movie Biz
cee56381-268a-492f-a401-7c47e04f0a13,El Rio Intro
66eb0750-2646-457c-a545-8738942b908e,Get a Job
8765535b-a38d-4ab8-8379-7f766addee3b,Bing Bong
c9e25757-91e3-40f3-9769-a8983aa0abab,I Sold My Heart To The Junkman
214eb5a7-19f7-466c-97af-b78ac2ab1457,I Am Lonely
75307bd7-fbe0-4aac-bc58-2b7bc03d440f,Voodoo Eyes
a62566be-5b97-4771-b98c-e9bf6d336fa8,Never Will Part
8bdca10c-2ebe-40e6-8555-83edaaf06cd8,Evelyn
a653f9b4-c2ce-46a4-95d0-d6392a03fc34,Vision In The Night
4d866555-282a-495b-b60b-acce62514e9d,Rent Man
f71c0d82-e9a5-4b79-bab3-14e0cec3ec15,Not Me Baby
c6db957a-8e67-4b1b-9c88-ec1908963d91,Heading For The Poorhouse
a7605a81-c877-49bd-93ab-932fea0915c6,Miss Thing
14010694-c3d2-4338-8b21-d11fcd33b2b4,What Would You Do
9e8416db-443d-4a5c-b4c4-d93d5e72fbd3,Your Love Is All I Need
dfd1ed04-b921-4272-bee4-ec0f6093130d,Wish I Could Be There
21b7465b-1ea3-40f4-83dd-75c498008bde,Brown Mountain Light
d3b78e49-3edf-4a52-ad5e-fe04475d93a6,Java
310f451e-f5f5-4fb7-ae32-a91877ae0f6e,Smile
264bfc88-81c3-4964-afaf-ca0c87351a08,Change the World
79cee232-508f-4822-bc3c-b52814db6598,Just Lie to Me
c3c0f07d-d28e-4993-a9d4-3174874a3a6e,Way Down
3de30964-82eb-478b-af0c-788aa046ec2b,Don't Ask Me
0cce5895-938a-492e-84b5-57b9a2c4f4cb,Awake
82807a81-1675-4c90-af83-558373d92843,Promise
b584b887-960b-4390-a54a-52a31938134d,Letter to Myself
921d79e9-2558-4abf-9b33-cfcb4e523506,Superhero
88a7a963-1824-4336-a661-0f7549534976,Dumb
9b78b0d3-5aa9-4f94-a173-3a5437599552,Ordinary Man
9b0cd0ec-4905-4338-aebd-1cd606a3c8a6,Blinded
e9dffdfd-5ea6-49a4-8556-18178c179692,Help
5f59f9c6-05a0-40b1-97f5-b47624754f34,The Last Sad Song
3d702745-6941-49b4-9722-20f321f303f6,Fade
dfa2b3e1-f8f1-4bae-a3ed-c3bc582748f1,Come Undone
fd22d876-ff01-4900-8a5b-33dceffe3eb3,Over My Head
c97d5829-c1c5-4e6b-a8d8-d21570b6d26f,December 31st 1999
915b4e9d-ad3b-4890-a8c0-2e3602dfccfe,So Loud
6de9bd48-a870-482c-9c87-990be50c3586,The Hey Song
16838aaf-6189-4e1c-b2cb-8eb42f20142b,Wrapped in Bliss
641fcada-3500-4eb5-bd00-50044c12c6dd,Get 'em Out
ec4153a1-1dc8-4c95-83ac-3b9201ae3dcb,Beautiful Suicide
3de42812-b15c-4a8d-9a1d-ee98d6c2706a,Ocean Temporal
cd606a61-b3b9-46b6-a7c6-a710b4206726,Amongst Us
73edc091-2a23-4737-a6fe-d71815d54b47,When You Gonna Come Down?
c73c817c-aaf5-499d-897c-8371be038a5b,The Walls Don't Look Like They Used To
19584112-c0e1-42f2-a372-928cf62a06f3,We're All Damaged (Fractured Mindscape edit)
c1d121de-d731-4dac-8315-e861c505828d,Rembulan Malam
cf025d3e-dcae-4205-bb30-16d5a200c9d3,Tanda Merah
4140ff52-ba37-44a2-a305-c45c57b5bc46,Jatuh Cinta Lagi
0b56e898-0cd2-4749-8ff0-aa6920979763,Suara Hati
301c7418-4b0e-4eb0-aea2-e5d2f5a347c1,Kandas
1d82ac29-e6a0-4624-af50-bc29f9d1a642,Seribu Purnama
3e595309-ee1e-4c67-a707-357dcee057bd,Kerinduan
1b238346-054f-4702-8dde-ca3d7cdfd5de,Selamat Malam
7faeb2d4-72f6-4709-8887-6c0416197a0c,Janji
f5103f6e-95ab-427f-a5ec-efbfe24c5f2d,Lilin Putih
f4fd98e7-1897-43b5-956b-68f37ea49877,Aku Rindu Padamu
0516b6e9-ed26-4798-919e-f537f1d5623e,Getar
9cf80e84-4b51-4c8a-9fa4-b90066e172de,Magnificent Journey
bebdbbc2-7837-468c-a8d2-194b00c6073f,Brass Frontier
ab3574df-383a-4d31-9036-598dfe4d6c15,Light & Lively
2937ce1c-cb35-4ba1-8da5-884107275460,Night Lights
53a789f2-bbbb-418b-9a9c-53214816a34b,Hyper Brass
99ed9da5-0a7d-40b2-b3c0-09fe992f470a,Dreadful Dream
60437bf2-3e5a-41fd-9a18-b5b34791d214,Synthetic Rendez-Vous
9f1861a9-e00b-4897-b174-fc1f2b0f50bc,Electronic Parade
09869697-eb46-4669-b12c-caa5f6426406,Delightful Waters
039d19ae-95e3-4de6-b7a4-6fe7f9d1784e,Prime Time Bolero
1c2862b3-ea01-4b53-b58c-bf91b8f85df2,Night Patrol
9bbbdce4-b7dd-43bf-a171-c48c7a52fcd6,Pep Water
35963783-d2a7-448f-af87-ac9b013e319c,Early Bird Song
562721bc-225b-4f99-8ee0-f188d864deee,Red Spot
75140361-3f92-4405-9e0d-d1ae75c7db9a,Upstairs
77429989-4449-4ce9-8277-61139b4b310a,Flossy Lips
52917ef6-88b3-45e6-b53a-75ec8d00424d,Daily Games
1f49e440-ff6a-4a0d-a615-cfd008ff7f2f,Zest of Lemon
e1ce3486-1019-4e85-93d4-32fa48a95a00,Vanilla Ice
85a8e3f4-8d90-4af7-82ee-b810371600fa,Queen's Cat
e11ed36a-0fb9-4bf0-a8df-6e3c96b3a27d,Yellow Stone
da966fd7-ef68-4a23-abc7-8e0b1ba8ae1b,Deep Ruby Lips
c93a3ec0-4029-480c-b730-59e270c8c127,Beauty Street
9a0c5bbd-5c13-4ade-bcde-fde92f2f4bc2,Diamond Shaped
12c74a5e-613b-4c75-b998-cb383f34f46d,Aquamarine Song
14ab2aeb-4fd3-4dfa-bb72-f699f1d9606e,Wide Angle (a)
13f151f9-821c-4afd-a77f-d3ebc8607d95,Close Up (a)
1cc9cef2-5dd8-479f-99f6-786585288291,Light Spot (b)
860f65a0-bb4d-4939-bb26-6803b074224d,Sweet Lullaby (b)
cde9d7b9-cf70-445f-b8ee-b012e51383bc,In a Strange Garden
53f12aeb-a433-49c3-8d39-17c2539b946a,Flux and Reflux
f858e118-4fa3-4bfb-aede-09c68b178d48,Yen of You
7b2d2ab3-43ed-41ae-9a30-a8ba5eaf56a6,Sound Collection
7970a2d4-97eb-40d5-ad6b-53ac22f8b223,Merry Morning
b9008155-3869-48a1-88dc-8999f00fd33f,Moonsigh
a4b5ce95-758b-4ff2-ae53-27734288e62f,Khol and Blush
27efbc00-2783-44fd-a6b7-3f01f44fe776,Rocking-Chair
8e2f574c-477c-43a0-a15d-4863bf0d5770,Nirvana 79
54e2cd29-4bcc-45c5-b44b-57afb47c1f81,Fingersliding
97177e84-2c9b-46fe-93d1-d16e6744d1be,Zirconium
8f626496-7e18-4ff4-a28e-d89769c6c52a,Black Topaz
7d6ad78d-c616-40bd-94b1-0c267cd41e61,Sesame
f4717c4b-ec79-4633-862c-cfd2b68390ae,Assymetric Sound (a)
bd5158af-a430-466a-b8f7-27328b92b617,Evening Waltz (b)
26c21e1b-8f23-4aff-aca8-661dc7510117,Like a Paperkite
4e0de8f4-c140-4a3a-b1bf-7023c93a92f4,Last Night
bb9bce44-75c6-44d0-8a7c-3e2a69cf1e44,Blue Dahlia
d78ce740-8712-4f93-a471-447d4b90b54a,Blue Wave
c41c9b4f-9410-4261-9781-21cbaac67179,Prince Road
d9f324d3-d7f7-49fa-9272-081c25391339,Puppet Music
443a98d7-3d00-4ea1-b30c-767fe7f8319d,Wooing a Woman
e4afb03d-8d0b-4a17-acf0-aea5333a6bf2,Beryl Stone
0a8c78c3-eba9-4830-bf7a-ca5391826549,Onyx One
bc2d4ed9-4a99-4d70-9219-1cfbdda3ce3c,Sun Show (a)
89dee84e-a5e9-4809-b24b-93a394e11e58,Four & Five (c)
9b068ee1-9d42-4b47-a482-92f18a0ad1f9,Cannabis Dream
e726f82d-d490-4ee2-ac3c-cc8ce6d23aa3,Red Fever
504bcf20-f338-4589-a21e-828df27532d0,For a Quite Day
1551209a-1bc6-4872-b9a5-d6956f020f06,Old Country Song
42b9684c-1efb-4656-aeba-5e78e9c50501,Green Flower
1bc24e42-b7ad-4a31-87e3-5faa111f4c1a,Yearning Lady
7d7d7c30-aac8-4452-8bcf-eaf6736a5035,Old Fashion
4288b8dc-dab8-49c9-ae7d-d7d6bf79d382,Slim Cat Song
f34e37ac-68e9-4136-85bd-deee368a5d25,Sapphire Song
436f7cf3-6859-4264-ad27-0c4c1a4fb235,Lapis-Lazuli
faab6382-0934-440a-8484-6653bb9de4c6,My Fair Queen
349d96ba-e2d6-4e76-a3d2-b9ff2cd1f79c,Classical Time
01073f0c-a06e-43ba-8c5b-231f57464d85,Making It
f6c244c9-fcdd-4bc0-89f4-9f11a0c43dfd,Coming Home
7c7d407f-a3cd-42ff-9283-611ac074e9bc,Intro
c0cabe2d-cd02-4983-89c8-d37fd0d69466,Atlantis
3a016903-fa19-43bc-b3a2-0f14f2c6218c,Eat Babies N' Shit
085ad96f-0cac-4484-beca-34db6b5c1728,Ripping Off Your Mother's Head
ec84afdc-2430-4310-8347-576384a44230,"Bitch Please, I'm a Ninja"
5472e17c-0b4c-4ca5-91c0-84bce277ffec,Lego
4fc69955-5ffd-4166-838e-dc60a84642d0,Axe to the Face
3bd24913-ef03-4533-8275-735370fb92ba,What?
93bdc34a-e543-45a5-8408-c06638a82fa8,PANIC!
685deb92-1241-4945-a73a-ee82daa8dd1f,Crack Head
5b00de58-cb80-44dc-9be9-d967f8ba203f,Straight Hate
8e23c83c-7dad-403b-837b-231585f24e43,Time Out.
b6d3eff6-c371-4dd5-991e-2ed15adc5bc2,Kick Yo Face Off
8cb34c0b-70e9-4fc9-930e-864eda810b7b,Burning Flesh
177f8b31-748b-49d6-9adf-60da1fcd751d,Ripping Teeth
8d4f0452-8433-45cb-a3da-339f0aa6cf7a,High Explosive Grenade in Your Rectum
b92aef80-eaf0-4438-b1d9-8528cd4e34ac,We Call Him It
43216ed3-05dc-4ec6-8707-a9bb086d51ef,"Eww Nigga, You Smell Like French Fries"
8ce77fde-2ccb-4d82-915a-620c5d50daa0,OPPD
f1e8204e-0062-4da9-a19c-f533a3f7c1c2,Gutted
8ebd0c0e-3c92-4fc2-b810-39afd133f957,1 by 1
cc123c38-53dd-4997-bd63-eecda2a10c67,O5
e1c755f1-a10f-4086-9a87-1e0768b8ff0f,Da Muzik
8914ea3e-5e8d-4145-92f2-a8c755949d06,Control
12745692-0c93-4135-87e6-fd6baa33733d,Bodyrock
3bd45d85-f8ed-4264-9ffb-00c1a9716bbb,I Will Survive
6fcffb35-4947-4e41-850c-8bf27ae9aef1,Let's Beat Milo Together
2e6da808-9aed-4288-bea6-aa7fbac539f2,Intro
8efad332-645f-42bc-b3d6-c20854bc573b,Oriental Flower
cfc48e74-0da2-4377-868a-04454bfa9f51,Gettin' on Way
a38e0cf6-20ad-4e51-a74e-9fe456a50c76,Half & Half
c60e6c91-3a19-4fe7-a262-647b90a14b23,Nuttin' Out Jones
66306b88-1372-4892-89d0-8e212a123fca,Aborigine Dance in Scotland
9d0c675e-5fab-468e-89bb-d4d2d920e328,Just Us Blues
41c2cd7d-003b-4be0-b7bf-ccdc87892101,Clouding of Consciousness
ee58c52d-9099-4bdf-9600-ed3be2fecb8d,Outro
0a51ca03-30e0-4bd3-a5ac-f341083a9c79,To the Depths (in Degradation)
05d976a6-8a16-4ce7-9d81-211a139fe881,Chamber of Reunion
13a3e451-603e-43b7-bc57-a34ea2b2fa89,Braded Into Palsy
bfe10d6d-35ee-4291-ba61-438f8ff8236b,Epicurean Entrails
445afea2-8a15-4bfd-8e2f-269ed8bf765b,Excoriation Killz the Bliss
cea50e6f-d15d-482a-91e3-69db0beabc1d,Mephetic Exhumation
abf7a81d-6edc-4647-85cc-02d37bc23e75,A Viscidy Slippery Secretion
0925a543-292f-4975-8c68-1083f57186a1,A Higher Art of Immutable Beauty
2cbdcca2-312c-4f61-842e-5d8b6ff03446,Endless Circles
3ef90b56-b36d-4f9d-882d-3ccf36558930,In These Shoes
89632179-dbb9-437a-af73-65422a623a8e,Someday you Might Find
a360cef4-fd93-4600-ac52-9b1f4df70a4b,Listen To Me
b0602aa5-dd56-4467-8d6d-f840bc194e36,You Want Hard
8fecc029-107b-4f60-bde1-2a615008fe57,Walk in the Sky
92bee3ca-90d9-47e1-8ba8-b97e97fbfa3b,Only Courage
48e72002-1150-4c30-ad83-5448a224def3,Confidentiality
0fad4ba2-63f0-43f3-8f12-8b8d7d1e1131,Fillin Up My Cup
9466923a-ebc3-4b25-8303-9ce3bf3b0ce9,Cupid's Joke (Interlude)
74827245-caf8-4169-87c4-00b1eccb95f8,Die Tonight
a1ffca04-6be0-4274-8996-921f6fcd9dc1,Sink Into the Sand
a298660f-62c4-45b7-8acf-abbd7259bf7e,Ask Me Anything
3f6af467-632d-4bbc-b583-874d4b057a6e,Locked Inside My Body
4e815e20-446d-4d4b-8e94-339bb863d0c1,Late Night Melody
8853584e-6be0-4efd-bb79-cdc18c8132ae,Can't Go On
c8142644-a0e8-4a7f-bbf4-0c5041f52ddd,Rock da Beat (Supastar) (radio edit)
650be255-28a9-4b1a-bcfa-a6613c778e7b,Personal Curbs
210d9689-f0cc-4537-a9b5-522ecc3cb2f2,Pass the Way
73607d76-89c4-48d9-b58c-10f5dec4d7c9,Disco Fever
6b0e0b22-2d8c-4325-ad93-7c82b7ea1107,T-Break
97e6f1e3-7caf-4ba2-863e-109eee551d05,Hydraulix 9
c0983c4a-7d9f-492d-bd2c-e0d0887ccdc2,Demonik
5b6fea9b-6f27-4c93-b2e0-d8c46b0925f6,Your Fear
27f1ff66-dbcb-4334-adee-a6095081b6f1,Africaine
f3af8807-b179-4750-94b8-e07284241d7d,Joy Don't Stop
21009308-22b5-402d-a695-e7fa3c64dd86,Disrespect
7ace2a53-cb41-409b-a11a-a53bbb8f7e77,T99 Anathasia
f8b7f256-5493-424d-9226-f5ebd5c0d962,Power Trip
dca444a5-665b-408d-8891-a0e689925607,Won't Stop Rocking
91a52ed3-f27e-4c7e-8a02-b07c84516f61,User
dc6804e1-19f5-4e1e-a2d9-c7f0bea07b35,Funky Groove
c39b4495-4ede-499c-b668-9c89affff2d1,Thunder
60a82e15-c8fd-40bb-9c5b-4ecb9a04c46d,I a de grilhets
f6dfd1c9-ef71-4e5c-9b69-688af9871941,L'ombra anciana
aa02f333-a626-4af4-9457-64df2edc686f,Auba
746881dc-9f76-454a-a908-3f0c4c797bf0,Galina blanca e marrit can
6552d242-f8f4-4955-af38-c6405ab04d3f,De matin ai pissat
ddf7e709-af18-4f1d-81dc-fbbec8c716b1,Be'm platz lo gais temps de Pascor
865acdb5-0eef-4cc9-96eb-9e08422f6421,Mi vilatges adorats
de069f54-8989-45d4-99af-92968e74c864,Souto la memori dis oulivié
bc43ff85-289d-4ce6-ac82-b64fabd10542,I'a de jour
9993786b-cd59-47ea-8049-6e317fc5acf3,Balada per Lili Fong
239ca809-47af-47d2-8044-d9a4870c1ea3,Siàu vengut de força luènch
386a9b21-157d-4d28-9348-35ac5645eb58,Ges d'autri desirs que de tu
69e611aa-ff7b-431a-a2a6-41253d4a17f4,Siès revengudo
e88f64f2-28da-4b0b-832e-ab8af7317638,As resoun de te baia
b59ca97d-cce0-4fea-b1cb-ac1f548385ac,Femo de touti li coulour
ca507d99-a799-4e9c-b316-85a5d26babc4,L'iscla serena
bfee0759-b49c-4eca-a009-fc0fbef3b1ae,Aucèu de malavista
13444a0a-8c81-4db8-9c11-7202d5b84bb1,Superbo Ourenoco
652ad3b3-6cf0-4f5c-8d1c-118ecc0a9780,Balado de l'ome qu'a travessa lou mounde
aa09593a-d176-4b54-879b-8bb9ae5b2eb9,Balada de la Desirada de la Tèrra
48b805fa-0e92-45df-b6a1-d6e4096040a0,Balado de lou que fai mouri lou mounde à la primo
9f9e556d-a797-474d-97c5-7b8c44e6c416,A una Bosniaca
d1c4f9fc-a549-465f-817f-3fd1cd4bceac,T'ai amada
a16bfdc6-f4c7-4866-947f-791c5c92f1f3,Odo à la Femo
9a86069d-52fe-4d6f-a605-176a0dba008a,Formentera
14c76123-0eea-4d6c-a570-7ddffa2e8e68,Estànci sens enebi
c7cb49c7-a10a-45cd-9a07-f39c1efe8cf8,Argierio roujo
dbbc705a-52fb-4c3a-8695-717e640ad202,Entre vergo de la lus e fango de l'oumbro
000de85e-2297-460e-b896-576ccca937c9,Opener
9bed198c-abb8-4d45-98af-fdb91b376bcf,Wayside
8750e2e8-2eed-4a60-bc11-ce204091bb3d,Seventeen
ff318965-b2ad-4ec7-93bd-ee8c8b7617c6,Between Her Mouth and the Sky
0976a2e5-e763-465d-8668-d478387bc663,Complex Insensitive
1ed5cac2-8a31-4e73-999a-44cba14841bf,December
bbf9fdc7-34de-4d72-b8bd-466137004c17,Virus of the Years Ending
b7223a25-de0d-4604-b9cc-580043412a42,Ocean Nymph
676a4505-b8ae-4ad6-8cb1-e32b98815815,Atlas' Burden
a8d4a925-11fd-4f03-8541-32a598274ffe,Lament
dea351ae-457e-434d-aecd-be49a8b6cb35,Ödet ser alla våra sorger
1edf16c2-48ae-41bb-ba48-8b615fb51846,The Faceless Mask
76f02348-6e42-45d0-a97e-6c16a469b1ad,Aokigahara
6960fe38-39ef-47ea-be65-3b6365fb7355,Aw(e)akening
8aef1d96-7e47-4da0-9a32-7a4ed99c24a9,Blackened Tears/I Breathe Evil
4808852f-ae99-456e-ad62-32b1acf687ff,"Rex Nemorensis (Part I: Rex Nemorensis, Part II: To Embrace the End)"
5e4daacf-cb59-483d-a7f3-3d4bd2cabfb7,Sulfur Child
b8721e26-cbf7-425e-a329-7f491b208c0e,Vem Kan Segla Förutan Vind?
874e6f5f-d15c-4d51-b478-5a14a0e9262d,Right to Die
8005e905-34c7-4b37-986b-e0fd71b97292,End Result
588165f1-68b0-44c3-a105-fdc9661f6b36,Maybe I
f6dd4c61-6ad4-442f-9118-c4fcd18bf466,Slow Down
8d725bc3-f567-43c3-bd47-227686335555,Offbeat Boogie
5376f84e-bf17-4e71-896d-71109dd94377,Bang Bang
a835b387-6303-4b09-9651-5393496acf33,Suntan Tattoo
0e1106aa-dff7-44cc-8d8e-68325bf16849,Feel Like Rockin'
a58f86ef-4407-4405-a16b-aea97cddc673,Long Black Shiny Car
5a80ffa5-c877-4a67-b8c6-6168f5c71c47,Hole in My Pocket
8a6093cd-082b-4392-acf9-71572d29c4cf,Gene & Eddie
6cd0c704-59e8-443b-beaf-f75c89bd898c,Got a Lot of Rhythm in My Soul
b4d030dc-262c-4111-8a4a-1b46f8872f1d,Jitterbop Baby
340a2aa6-2248-4f62-92b5-eeb88962a96e,Rockabilly Guy
64993181-7e0f-4cd5-9c2a-f45ca26b464a,Crazy Rockin' Redheaded Girl
7cd412e2-a6cc-4dc6-92c9-fe791f61dbd9,Wasting Time With You
e850705e-df11-4901-bfdb-3e0d5b688052,Inca Roads
154542e3-7e28-4233-912c-8bb43f6ff93b,Cosmik Debris
e644f84f-8a59-4254-9e79-169c15a1e894,King Kong
0573fd65-0878-4ed6-96cc-a4c4a4ec58bd,Little House I Used to Live In
c22e9c07-eb3a-44ff-bd9d-2efa1b7eb3b7,Broken Hearts Are for Assholes
07153c17-66ce-4c49-8e88-610aee8b9cae,The Idiot Bastard Son
8971a8bd-ee81-49f0-ba8e-8f387ac1153f,Zombie Woof
5c794b75-d9b7-4341-83e1-b161fc364dfa,Easy Meat
50ac6ee3-675f-417e-b94c-0c208c8c3377,Filthy Habits
78d3be40-37b3-4ca1-a425-56a8401de861,The Evil Prince
6427b7f6-5d35-4720-8e5a-724c3fc6df85,Flakes
b79c6abd-877c-442e-92ca-eb5bd7a031cb,Latex Solar Beef
c502df86-8ad4-410a-9766-c56b406150eb,Dirty Love
9d2b3c72-26d2-4b0b-bad9-558c72e46cdd,Fembot in a Wet T-Shirt
f602da04-97ca-4497-8666-3af1405dbad0,Why Does It Hurt When I Pee
f51173f6-01a1-4e58-b07e-beaa51fe1450,Apostrophe'
9ccf6c98-b70b-4d68-bb32-4f3889166251,Biznis as Usual
2040aed7-0207-47fe-871a-498376a70920,Sofa #2
c31325b7-c91d-4cc3-84b6-943557fb4279,Andy
acbe3383-8f31-4e81-a670-6b3efec78790,Cruising for Burgers
793fff59-1946-4f43-ac78-cb2fd2deaec9,Uncle Remus
ee6df21e-b2d2-4ae7-a953-b2c6ebadc5f4,I Have Been in You
06b2145f-b331-44af-942a-27700575f6f2,Willie the Pimp
a5a1f502-6088-466e-b54e-77b57c6871fc,[Introduction]
e0549658-ee2e-4f74-b628-2fd6ca6ab59b,Titties and Beer
5fd2e221-60ff-4732-a1b9-f428026ebcc6,A Token of My Extreme
43cc1cbe-5457-467d-8a36-3970ae5e91ef,Village of the Sun / Echidna's Arf (Of You)
d47acbed-2fa9-4562-bde8-b008225a2e8a,Don't You Ever Wash That Thing? / Third Stone From the Sun / Purple Haze / Don't You Ever Wash That Thing? (concluded)
1d2ac174-20dc-49a1-858f-02fd4f8c699b,More Trouble Every Day
5d86a8e8-6b2f-44c7-b3e2-55bb8cf58ce9,The Mud Shark
c620d814-a5a0-4b85-9038-6f7e02446704,The Mammy Anthem
727bea97-a8a2-4315-899b-6a890700f8dc,Montana
0c59ad78-0f1a-4d28-ba04-a721cc48e826,City of Tiny Lights
4c498dd9-7243-4683-ad49-3d49487a2a5d,Jones Crusher
31f50c86-191a-4372-b1bc-2488b42cfa32,In the World
6d4d8eb8-60bf-44a5-8ea6-85a4b2ecfde5,Cuddlebun
07061f7c-5861-40f6-90b0-f66590234984,Nnamalapocalypse
dc6b1ebe-4de9-4b89-aff6-8aa07ca14b7b,Shredder
82d20fa6-64f2-4256-8459-8e393f1befb2,Imagipsychout
dd3d7d48-e4ba-4e1c-899d-a5b03dc644b5,Good Vibes
b375c630-a229-498e-8cbf-46466b4dc7f3,Electrix Is for Kids
34ddface-5746-4346-b359-69e116a10896,2000 Fun
1a84a204-6ada-41fd-b5ab-f4cd98bcf940,Beat Bachs
b336abf3-8da1-4aa8-a3f7-68480b59e6e3,Blues Clues
89b807e4-522c-4d0f-a383-71a4280caac5,Mix Masters of Sabin Elementary
99230c38-eb78-497d-83bc-45d18331daa2,Baby Boppa Boo...
13a00cfd-fde7-4d97-996f-6fdde1ed9cbc,Fun Rules
ee2837ee-4f64-41b5-93d6-10e40575eacc,Fresh Beet Band
73c5a292-e062-4ff1-a72d-898749e6cd2c,Bleeding Boy
978e4483-2cca-4b51-93c8-fd9b17863582,Don't Think the Sun
a2a357c5-dc04-428d-bc25-fd6e64666d65,Chinese
7ddccc14-275e-46ee-94a8-e59b1501adc9,Anna
ba65ec19-7d6e-4255-86ae-50440faabda0,Vanishing
34568725-dde2-4a59-9f2e-51b7df5f7b56,Almost Again
217a7d3f-5ef9-4444-984e-ccbb15f4eca8,Gone to Heaven
1389a81f-ca0d-4b94-86fd-60d8b66eac61,Feelings Mean Nothing
04e4e537-b77c-4c66-a714-6d79d5a087e0,American
4775fe5d-21da-4d09-845a-f19251cac8a0,Forget
c942eee5-796e-4d14-b50e-9088ab3e6e4d,Candy (Let Me In)
f52a5868-17f5-4d1c-aa83-4986c018919b,Hurts to Laugh
88981c24-37e2-4148-b7ee-6429364aa5a8,Intro
3857e3c5-2f4b-4215-b0bf-4d876dad650f,The French Letter
f1684f6d-55ba-4993-bbed-fa9b7823771f,When Radio Came
17840df8-1c6c-40e1-a1a5-24c8101d7d0a,Jazz is for Russians
d3c93104-f325-4958-bc5c-8d8e3eb59b56,T.L.T.
0c088cfa-bcdf-48cc-8e82-e9c82f44fdf3,"Here, Bass"
1b48def8-e07f-4b68-ac0c-0ec9753f7d97,Jerry Jones
